29-10-2019 21:04:36 - ERROR - m: 12,0 MB, u: 1 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
29-10-2019 21:45:35 - ERROR - m: 11,9 MB, u: 1 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
29-10-2019 21:45:49 - ERROR - m: 11,9 MB, u: 1 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
29-10-2019 21:47:51 - ERROR - m: 11,9 MB, u: 1 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
29-10-2019 21:48:55 - ERROR - m: 11,9 MB, u: 1 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 16:38:03 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 16:39:05 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 16:43:52 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 16:46:30 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 16:57:48 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 18:25:19 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 20:06:12 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 20:06:53 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 20:07:20 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 20:08:15 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
